axe,Mois,Année,Service,gare de départ,gare d'arrivée,Durée moyenne prévue du trajet (min),Nbre de circulations programmées sur la relation considérée dans le mois ,Nbre de circulations assurées sur la relation considérée dans le mois,Nbre de trains annulés au cours du mois,% mensuel de trains annulés,Commentaire trains annulés,Nbre total de trains en retard au départ pour le mois,% mensuel de trains en retard au départ,Retard moyen mensuel des trains au départ (min),% moyen de retard au départ des trains sur les 6 derniers mois,Retard moyen des trains au départ sur les 6 derniers mois (min),% moyen de retard au départ des trains sur les 12 derniers mois,Retard moyen des trains au départ sur les 12 derniers mois (min),Commentaire trais en retard au départ,Nbre total de trains en retard à l'arrivée,% mensuel de trains en retard à l'arrivée,Retard moyen mensuel des trains à l'arrivée (min),% moyen de trains en retard à l'arrivée sur les 6 derniers mois,Retard moyen des trains à l'arrivée sur les 6 derniers mois (min),% moyen de trains en retard à l'arrivée sur les 12 derniers mois,Retard moyen des trains à l'arrivée sur les 12 derniers mois (min),Commentaire trains en retard à l'arrivée,Retard moyen mensuel des trains au départ p/r à l'ensemble des trains (min),Retard moyen mensuel des trains à l'arrivée p/r à l'ensemble des trains (min),"% trains en retard pour causes externes (météo, obstacles, colis suspects, malveillance, mouvements sociaux, etc.)","% trains en retard à cause infrastructure ferroviaire (maintenance, travaux)","% trains en retard à cause gestion trafic (circulation sur ligne ferroviaire, interactions réseaux)",% trains en retard à cause matériel roulant,% trains en retard à cause gestion en gare et réutilisation de matériel,"% trains en retard à cause prise en compte voyageurs (affluence, gestions PSH, correspondances)",Nombre trains en retard > 15min,Retard moyen trains en retard > 15min,Nombre trains en retard > 30min,Nombre trains en retard > 60min
Sud-Est,7,2019,TGV,AIX EN PROVENCE TGV,PARIS-LYON,189,433,433,0,0,,413,,6,,,,,,55,,35,,,,,,6,6,0.24,0.30000000000000004,0.11,0.28,0.04,0.03,55,35,26,7
Sud-Est,8,2019,TGV,AIX EN PROVENCE TGV,PARIS-LYON,189,407,407,0,0,,396,,6,,,,,,60,,31,,,,,,6,5,0.22,0.32,0.22,0.19,0.02,0.03,60,31,21,6
,9,2018,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,97,369,369,0,,,191,,6,,,,,,41,,23,,,,,,3,4,0.19,0.25,0.28,0.14,0.14,0,20,4,9,1
,10,2018,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,99,373,373,0,,,196,,5,,,,,,47,,18,,,,,,3,4,0.07,0.35,0.33,0.19,0.02,0.04,20,4,6,1
,11,2018,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,97,371,363,8,,,184,,6,,,,,,66,,20,,,,,,3,5,0.13,0.36,0.36,0.12,0,0.03,26,5,11,3
,12,2018,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,94,419,417,2,,,189,,6,,,,,,84,,18,,,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 4 : un dérangement d'installation sur la ligne à grande vitesse Atlantique (22 TGV impactés pour 466 minutes perdues),
- le 5 : un accident de personne vers Ancenis (22 TGV pour 1227 minutes perdues), 
 - le 6 : la panne d'un TER vers Morannes (9 TGV impactés pour 237 minutes perdues) et un dérangement d'installation vers Connerré nécessitant une limitation de vitesse (17 TGV impactés pour 193 minutes perdues), 
- le 18 : un incident caténaire à l'entrée de Paris-Montparnasse (79 TGV impactés pour 1034 minutes perdues),
- le 19 : un accident de personne à Varades (18 TGV impactés pour 885 minutes perdues), 
- le 25 : un heurt de sanglier sur la ligne à grande vitesse Atlantique (29 TGV impactés pour 2082 minutes perdues),
- le 31 : une panne d'un TGV sur la ligne à grande vitesse Atlantique ( 7 TGV impactés pour 87 minutes perdues). ",3,5,0.24,0.30000000000000004,0.27,0.14,0.03,0.02,32,5,11,4
,1,2019,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,94,450,449,1,,,172,,10,,,,,,70,,43,,,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 3 : un TGV heurte un sanglier à Etriché (13 TGV impactés pour 730 minutes perdues),
- le 9 : un choc anormal immobilise un train OUIGO sur la ligne à grande vitesse Atlantique (53 TGV impactés pour 3007 minutes perdues) et le heurt d'un sanglier sur la ligne à grande vitesse Atlantique (25 TGV pour 1 42 minutes perdues), 
- le 17 : un bagage abandonné dans un TGV en gare de Paris-Montparnasse (9 TGV impactés pour 287' perdues),
- les 22 et 23  : les épisodes neigeux sur toute la France (83 TGV pour 1068'perdues),
- le 24 : le heurt d'un chevreuil sur la ligne à grande vitesse Atlantique (68 TGV impactés pour 3628' perdues), 
- le 27 : un TER heurte un sanglier entre Angers et Sablé (8 TGV impactés pour 192' perdues), 
- le 29 : la tempête Gabriel (18 TGV impactés pour 482 minutes perdues), 
- le 30 : les épisodes neigeux en Ile-de-France (33 TGV impactés pour 772' minutes perdues),
- le 31 : une rupture caténaire à l'entrée de Paris-Montparnasse entraine une interruption totale des circulations (128 TGV pour 12028' perdues). ",4,7,0.30000000000000004,0.34,0.2,0.14,0,0.02,37,7,25,12
,2,2019,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,94,409,407,2,,,157,,7,,,,,,57,,22,,,,,,3,4,0.31,0.16,0.31,0.16,0,0.06,23,4,11,3
,3,2019,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,94,450,446,4,,,164,,7,,,,,,66,,33,,,,,,3,6,0.4,0.30000000000000004,0.14,0.14,0,0.02,36,6,23,9
Atlantique,4,2019,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,93,410,410,0,,,270,,9,,,,,,82,,28,,,,,,6,6,0.19,0.38,0.21,0.16,0.02,0.04,37,6,23,10
Atlantique,5,2019,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,93,444,441,3,,,377,,4,,,,,,54,,24,,,,,,3,3,0.29,0.33,0.14,0.19,0.02,0.03,30,35,14,5
Atlantique,6,2019,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,97,474,429,45,,,379,,6,,,,,,91,,32,,,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 7 : sur l'ensemble des régions les conséquences du passage de la tempête Miguel (arbres sur les voies, limitations de vitesse...) (110 TGV impactés pour 10230 minutes perdues), 
- le 9 : un bagage oublié dans un TGV nécessite un arrêt exceptionnel à Massy TGV (11 TGV impactés pour 316 minutes perdues),
- le 10 : un accident de personne sur un Intercités vers Le Mans (18 TGV impactés pour 581 minutes perdues),
- le 11 : un incident éléctrique vers Vendôme sur la Ligne à Grande Vitesse Atlantique perturbe l'ensemble des circulations TGV (127 TGV impactés pour 11356 minutes perdues), 
- le 12 : un dérangement d'installation sur la Ligne à Grande Vitesse Atlantique (39 TGV impactés pour 1164 minutes perdues), 
- le 13 : une panne d'un OUIGO à la sortie de Paris-Montparnasse  (20 TGV impactés pour 309 minutes perdues), 
- le 14 : un heurt de cerf sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 630 minutes perdues), 
- le 15 : une absence d'alimentation électrique vers Ancenis (11 TGV impactés pour 973 minutes perdues), 
- le 16 : présence d'une personne aux abords des voies sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 1337 minutes perdues),
- le 21 : une panne d'un TGV sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 177 minutes perdues), 
- le 25 : une restitution tardive de travaux entre Couëron et Chantenay (6 TGV impactés pour 308 minutes perdues), 
- le 28 : un dérangement d'installation à Conerré (près du Mans) ( 30 TGV impactés pour 1275 minutes perdues) et un heurt de chevreuil sur la Ligne à Grande Vitesse Atlantique ( 51 TGV impactés pour 2160 minutes perdues). ",6,8,0.2,0.33,0.26,0.14,0.02,0.05,56,48,30,16
Atlantique,7,2019,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,97,473,458,15,0,,405,,3,,,,,,63,,19,,,,,,2,4,0.14,0.23,0.29,0.21,0.07,0.06,30,30,8,3
Atlantique,8,2019,TGV,ANGERS SAINT LAUD,PARIS MONTPARNASSE,97,435,430,5,0,,389,,4,,,,,,49,,37,,,,,,4,4,0.06,0.5,0.08,0.19,0.04,0.13,31,52,19,8
,9,2018,TGV,ANGOULEME,PARIS MONTPARNASSE,131,262,262,0,,,127,,6,,,,,,47,,18,,,,,,3,5,0.11,0.37,0.33,0.11,0,0.08,15,5,6,1
,10,2018,TGV,ANGOULEME,PARIS MONTPARNASSE,131,262,262,0,,,148,,4,,,,,,61,,17,,,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 9 : une restitution tardive de travaux  à St-Pierre-des-Corps (13 TGV retardés pour 101 minutes perdues),
- le 10 : une défaillance électrique entre Massy et Marcoussis (23 TGV retardés pour  308 minutes perdues) , 
- le 11 : une restitution tardive de travaux suite à la panne d'un train de travaux sur la ligne à grande vitesse Atlantique (21 TGV pour 431 minutes perdues),  
- le 15 : une personne dans les voies à St-Cyr  du Gault sur la ligne à grande vitesse Atlantique nécessite l'interruption des circulations ( 32 TGV pour 620 minutes perdues),  
- le 23 : une  défaillance matériel d'un TGV entre Poitiers et Angoulême (16 TGV pour 131 minutes perdues).
- le 24 : un défaut d'alimentation électrique sur la ligne à grande vitesse Atlantique (40 TGV pour 1025 minutes perdues). ",2,6,0.08,0.41,0.31,0.08,0.05,0.07,29,6,6,0
,11,2018,TGV,ANGOULEME,PARIS MONTPARNASSE,128,266,257,9,,,155,,6,,,,,,64,,25,,,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 5 : un choc anormal sur la ligne à grande vitesse Atlantique (29 TGV retardés pour 746 minutes perdues),
- le 6 : la panne d'un train de marchandises à St-Pierre-des-Corps (12 TGV retardés pour 434 minutes perdues),
- le 9 : le heurt d'un animal entre Angoulême et Poitiers (9 TGV retardés pour 577 minutes perdues), 
- le 13 : des tirs de projectiles à l'entré de Paris-Montparnasse nécessitant l'interruption des circulations (13 TGV retardés pour 572 minutes perdues), 
- le 14 : la panne d'un TGV sur la ligne à grande vitesse Atlantique (23 TGV retardés pour 319 minutes perdues), 
- le 21 : une fuite de matières dangereuses sur un train de marchandises à Angoulême entraînant l'interruption des circulations (9 TGV retardés pour 294 minutes perdues), 
- le 30 : un incident caténaire sur la ligne à grande vitesse Atlantique (40 TGV pour 1041 minutes perdues) et l'incendie d'un camion citerne avec un risque d'explosion à proximité de la ligne à grande vitesse Atlantique (25 TGV retardés pour 829 minutes perdues). ",4,8,0.19,0.23,0.34,0.11,0.04,0.09,36,8,13,2
,12,2018,TGV,ANGOULEME,PARIS MONTPARNASSE,126,280,273,7,,,144,,6,,,,,,49,,22,,,,,,3,6,0.18,0.35,0.27,0.1,0.02,0.08,28,6,12,2
,1,2019,TGV,ANGOULEME,PARIS MONTPARNASSE,125,310,298,12,,,153,,8,,,,,,38,,46,,,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 9 : un choc anormal immobilise un train OUIGO sur la ligne à grande vitesse Atlantique (53 TGV impactés pour 3007 minutes perdues) et le heurt d'un sanglier sur la ligne à grande vitesse Atlantique (25 TGV pour 1 42 minutes perdues), 
- le 14 : un dérangement de signalisation à St-Pierre-des-Coprs (10 TGV impactés pour 173' perdues),
- le 15 : une suspicion de fuite de matières dangereuses sur un train FRET vers St-Pierre-des-Corps (10 TGV impactés pour 334' perdues),
- le 17 : un bagage abandonné dans un TGV en gare de Paris-Montparnasse (9 TGV impactés pour 287' perdues),
- les 22 et 23  : les épisodes neigeux sur toute la France (83 TGV pour 1068'perdues),
- le 24 : le heurt d'un chevreuil sur la ligne à grande vitesse Atlantique (68 TGV impactés pour 3628' perdues), 
- le 29 : la tempête Gabriel (18 TGV impactés pour 482 minutes perdues), 
- le 30 : les épisodes neigeux en Ile-de-France (33 TGV impactés pour 772' minutes perdues),
- le 31 : une rupture caténaire à l'entrée de Paris-Montparnasse entraine une interruption totale des circulations (128 TGV pour 12028' perdues). ",4,7,0.38,0.19,0.22,0.16,0.02,0.03,26,7,17,6
,2,2019,TGV,ANGOULEME,PARIS MONTPARNASSE,125,277,271,6,,,141,,5,,,,,,33,,24,,,,,,3,5,0.19,0.19,0.22,0.28,0.06,0.06,21,5,7,1
,3,2019,TGV,ANGOULEME,PARIS MONTPARNASSE,125,305,296,9,,,155,,9,,,,,,41,,40,,,,,,5,7,0.37,0.22,0.15,0.22,0,0.04,24,7,14,7
Atlantique,4,2019,TGV,ANGOULEME,PARIS MONTPARNASSE,125,278,278,0,,,143,,5,,,,,,30,,24,,,,,,3,4,0.16,0.24,0.24,0.28,0.04,0.04,19,4,7,1
Atlantique,5,2019,TGV,ANGOULEME,PARIS MONTPARNASSE,125,293,293,0,,,208,,3,,,,,,24,,22,,,,,,2,3,0.21,0.25,0.21,0.13,0.04,0.16,16,27,3,0
Atlantique,6,2019,TGV,ANGOULEME,PARIS MONTPARNASSE,131,283,283,0,,,230,,10,,,,,,67,,46,,,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 7 : sur l'ensemble des régions les conséquences du passage de la tempête Miguel (arbres sur les voies, limitations de vitesse...) (110 TGV impactés pour 10230 minutes perdues), 
- le 9 : un bagage oublié dans un TGV nécessite un arrêt exceptionnel à Massy TGV (11 TGV impactés pour 316 minutes perdues),
- le 10 : un bagage oublié en gare de Bordeaux (23 TGV impactés pour 967 minutes perdues),
- le 11 : un incident éléctrique vers Vendôme sur la Ligne à Grande Vitesse Atlantique perturbe l'ensemble des circulations TGV (127 TGV impactés pour 11356 minutes perdues) et un heurt de  chevreuil sur la Ligne à Grande Vitesse Atlantique (8 TGV impactés pour 431 minutes perdues),
- le 12 : un dérangement d'installation sur la Ligne à Grande Vitesse Atlantique (39 TGV impactés pour 1164 minutes perdues), 
- le 13 : une panne d'un OUIGO à la sortie de Paris-Montparnasse  (20 TGV impactés pour 309 minutes perdues), 
- le 14 : un heurt de cerf sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 630 minutes perdues), 
- le 16 : présence d'une personne aux abords des voies sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 1337 minutes perdues),
- le 21 : une panne d'un TGV sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 177 minutes perdues), 
- le 25 : une incendie aux abords des voies vers Monts (14 TGV impactés pour  655 minutes perdues), 
- le 26 : un dérangement d'installation vers St-Pierre-des-Corps dû aux fortes chaleurs (27 TGV impactés pour 450 minutes perdues),
- le 27 : un incident électrique au nord de St-Pierre-des-Corps (16 TGV pour 459 minutes perdues),
- le 28 : le heurt d'un chevreuil sur la Ligne à Grande Vitesse Atlantique (51 TGV impactés pour  2160 minutes perdues). ",8,12,0.12,0.47,0.22,0.12,0.01,0.06,47,61,23,11
Atlantique,7,2019,TGV,ANGOULEME,PARIS MONTPARNASSE,132,247,247,0,0,,191,,4,,,,,,41,,23,,,,,,3,5,0.25,0.14,0.28,0.12,0.03,0.18,21,33,7,2
Atlantique,8,2019,TGV,ANGOULEME,PARIS MONTPARNASSE,133,224,224,0,0,,165,,3,,,,,,26,,16,,,,,,2,3,0.17,0.25,0.21,0.13,0.07,0.17,12,21,1,0
,9,2018,TGV,ANNECY,PARIS-LYON,228,183,182,1,,,11,,9,,,,,,52,,39,,,,,,1,13,0.15,0.4,0.25,0.08,0.1,0.02,52,13,17,9
,10,2018,TGV,ANNECY,PARIS-LYON,224,186,186,0,,,12,,12,,,,,,33,,47,,,,,"2 accidents de personne, 2 LTV impactantes Lapeyrouse et Venissieux, 3 incidents marériel important sur LN1, 3 dérangements (aiguillage et caténaire) sur LN1",1,10,0.21,0.21,0.39,0.12,0.03,0.04,33,10,15,6
,11,2018,TGV,ANNECY,PARIS-LYON,225,188,187,1,,,8,,8,,,,,,49,,35,,,,,,0,11,0.25,0.29,0.31,0.1,0.02,0.03,49,11,24,5
,12,2018,TGV,ANNECY,PARIS-LYON,227,159,158,1,,,16,,12,,,,,,20,,29,,,,,,1,5,0.25,0.15,0.30000000000000004,0.15,0.15,0,20,5,6,1
,1,2019,TGV,ANNECY,PARIS-LYON,229,153,153,0,,,9,,7,,,,,,23,,34,,,,,,0,6,0.5,0.05,0.32,0.04,0.09,0,23,6,10,3
,2,2019,TGV,ANNECY,PARIS-LYON,229,140,139,1,,,18,,16,,,,,,27,,42,,,,,"Pointe neige fort trafic dans les Alpes, accident de personne",2,10,0.26,0.19,0.37,0.11,0.07,0,27,10,7,3
,3,2019,TGV,ANNECY,PARIS-LYON,229,152,152,0,,,15,,16,,,,,,20,,34,,,,,,2,6,0.05,0.4,0.5,0.05,0,0,20,6,6,4
Sud-Est,4,2019,TGV,ANNECY,PARIS-LYON,228,135,132,3,,,12,,78,,,,,,19,,34,,,,,,7,5,0.11,0.28,0.5,0.11,0,0,19,5,6,4
Sud-Est,5,2019,TGV,ANNECY,PARIS-LYON,231,142,139,3,,,6,,7,,,,,,11,,42,,,,,Heurt de personnes à Vianges. Heurt animal Cuy. heurt chevreuil Lacour d'arcenay. dérangement Yerres. disjonction cluny. Fort impact sur LN1 tronçon central,0,4,0.4,0.2,0.2,0.1,0.1,0,11,42,4,3
Sud-Est,6,2019,TGV,ANNECY,PARIS-LYON,230,141,141,0,,,15,,5,,,,,,16,,40,,,,,Heurt d'une personne à Paris Bercy. limitation vitesse 6909 sur LN1. dérangement vers Montanay accès LN1. heurt de personne à Maisons Alfort. Dérangement d'installation vers Macon,1,6,0.19,0.19,0.38,0.19,0.05,0,16,40,7,3
Sud-Est,7,2019,TGV,ANNECY,PARIS-LYON,232,180,136,44,0,,21,,145,,,,,,11,,36,,,,,,22,4,0.18,0.18,0.36,0.18,0.1,0,11,36,5,1
Sud-Est,8,2019,TGV,ANNECY,PARIS-LYON,231,136,136,0,0,,14,,316,,,,,,24,,27,,,,,,33,6,0.29,0.21,0.33,0.04,0.08,0.05,24,27,2,2
,9,2018,TGV,ARRAS,PARIS NORD,54,295,292,3,,,107,,9,,,,,,78,,18,,,,,"Secteur dominant des dérangements avec  l’arrachement caténaire entre Pierrefitte et St Denis le dimanche 23 qui  a été fortement pénalisant car il a été aggravé par un envahissement de personnes dans les emprises, 53 trains Voyages ont été concernés pour 2118 minutes perdues. Pour le reste il s’agit de dérangements de zones, d’appareils de voie ou de passages à niveau. Pour le secteur Nord,  l’incident du passage à niveau 149 à Arneke le dimanche 26 est marquant avec un vrai défaut technique, incident qui a coûté 9 TGV pour 81 minutes perdues.
Le premier secteur de l’irrégularité Matériel est classé sous la dénomination « autres incidents », en exemple le TGV 7000 du vendredi 07 qui génère un manque tension en sous station de Gonesse, avec présomption de rupture d’archet (11 Tgv concernés pour 142 minutes), le second secteur concerne directement tous les types de pannes (bloc moteur, portes, veille automatique, compresseur, etc.). Enfin la tension parc est apparente pour le secteur Produit train, avec une dominante de mises à quai tardives du chantier Landy à Paris Nord, il s’agit pour cette période d’une quinzaine de trains relevés avec conséquences sur la ponctualité du chantier Paris Nord. Les technicentres subissent aussi de gros aléas de casses TGV, en exemples le TGV 7385 qui heurte un véhicule à Esquelbecq (secteur Nord), rame immobilisée plusieurs semaines en réparation, ou le TGV 7169 qui heurte un Ter à Valenciennes dans le chantier de remisage.
Néanmoins, on  compte beaucoup sur le plan d’actions mené depuis début septembre au technicentre du Landy pour redresser la disponibilité des rames. Les effets positifs sur les restrictions se font déjà sentir!",4,6,0.06,0.33,0.46,0.11,0.04,0,22,6,13,4
,10,2018,TGV,ARRAS,PARIS NORD,52,330,326,4,,,123,,7,,,,,,71,,19,,,,,"l’incident caténaire de Fresnoy ce jeudi 11  en début d’après-midi a perturbé fortement le plan de transport, avec  un pendule qui casse et la  caténaire qui se détend sur  1500 mètres. Cet incident a concerné 57 TGV Voyages pour 2439 minutes perdues (147",3,5,0.1,0.32,0.42,0.13,0.03,0,25,5,6,5
,11,2018,TGV,ARRAS,PARIS NORD,51,325,322,3,,,141,,5,,,,,,81,,12,,,,,"La journée du vendredi 16 a été concernée par l’évènement phare du mois avec une régularité composite tombée à 70,9%, en effet le rail cassé de Joncherolles a concerné 36 trains Voyages, et en totalité 148 Tgv pour 1533 minutes.
Le jeudi 08, de nombreuses défaillances « Matériel » se sont produites avec la panne du  Thalys 9368 à Izel et  du 7100 à Beugnâtre, soit une vingtaine de Tgv concernés en totalité.",2,3,0.09,0.27,0.46,0.12,0.03,0.03,16,3,4,0
,12,2018,TGV,ARRAS,PARIS NORD,51,308,302,6,,,125,,7,,,,,,71,,15,,,,,"Première cause d'irrégularité, les autres transporteurs , en exemple sur le secteur: 
le 03/12arrachement de 9 pédales de PN entre Somain et Valenciennes par FRET 457171: 5 tgv concernés. 
Aussi le 14/12 : Défaillance FRET entre Hazebrouck et Béthune, 4 PN en RO -8 Tgv concernés
Défaillance FRET entre Valenciennes et Douai: 8 Tgv concernés
Avec l'évènelent phare du mois pour la panne Eurostar 9023 à TGV HP 50 TGV concernés (détournements LC=",3,4,0.11,0.06,0.56,0.14,0.11,0.02,16,4,8,2
,1,2019,TGV,ARRAS,PARIS NORD,51,323,311,12,,,108,,6,,,,,,73,,19,,,,,"Irrégularité cause Matériel stabilisée pour le secteur de la Radiale, même si le Parc a été relevé tendu une dizaine de fois pour janvier, notamment pour les Duplex.
Incident phare le 21 avec le train balai 999015 en incident voyant « non desserrage » à Oignies (8 tgv)
Légère hausse des causes hors matériel sur la radiale, avec des motifs « produit Train » (mises à quai ) ou Service Voyageur pour des interventions Suge, Police ou Pompiers.
Baisse significative pour le domaine des Autres transporteurs
Évènement phare avec la défaillance du 7097 à Oignies (suite intempéries) le jeudi 31, journée neutralisée.
Irrégularité soutenue pour les cause dérangements sur la radiale avec pour principaux événements : le 29, incident CMPT ou commutateurs non retirés suite travaux de nuit à secteur Beugnâtre/Combles (32 TGV -749min), un rail cassé entre BE et CS le 21 (8 TGV), des  dérangements d’aiguille à DKQ le 02, à ARR le 03, à ARR le 07",2,5,0.4,0.12,0.36,0.09,0.03,0,24,5,17,3
,2,2019,TGV,ARRAS,PARIS NORD,51,309,303,6,,,119,,7,,,,,,86,,14,,,,,"Irrégularité cause Matériel en hausse pour le secteur de la Radiale, avec un Parc toujours tendu en ce qui concerne  les rames Duplex. Incident phare le 02 avec le train 7515 qui s’arrête en ligne pour bruits importants sous caisse entre voitures 7 et 8 - 34 trains concernés pour 1051 minutes perdues, représentant près de 1,3 %  d’irrégularité.
Pour le domaine de l’Externe, on relève la présence de migrants dans les emprises à FHS le 04 avec 4 Tgv concernés, le 06 l’incendie volontaire d’une guérite à Somain près du PN115 avec 4 Tgv concernés, et le 07 avec le Tgv 7363 qui heurte une personne à Lillers(10 Tgv concernés).",3,5,0.16,0.2,0.49,0.08,0.07,0,20,5,8,0
,3,2019,TGV,ARRAS,PARIS NORD,51,348,338,10,,,128,,7,,,,,,98,,14,,,,,,3,5,0.1,0.31,0.47,0.096,0.024,0,22,5,7,4
Nord,4,2019,TGV,ARRAS,PARIS NORD,51,309,307,2,,,114,,37,,,,,,72,,21,,,,,"Domaine des dérangements d’IS en dominante de l’irrégularité, on retrouve par trois fois ces  dérangements pour occasionner des restitutions tardives de travaux LN3 (TIV de chantier et commutateurs de protection x2)
On retrouve en particulier dans la rubrique externe: deux accidents de personne les 22 et 24, avec l’E*9028 à Erquinghem et le thalys 9472 à Avelin. Pour le reste il s’agit d’intrusion dans les emprises, d’incendie aux abords des voies (Pierrefitte le 01/04), arbre sur la caténaire ( Lillers le 12/04)-",14,6,0.16,0.25,0.42,0.06,0.08,0.03,26,6,12,4
